,name,rating,team
0,Rassie van der Dussen,"<td class=""table-body__cell u-text-right rating"">787</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo SA""></span>
<span class=""table-body__logo-text"">SA</span>
</td>"
1,David Warner,"<td class=""table-body__cell u-text-right rating"">747</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo AUS""></span>
<span class=""table-body__logo-text"">AUS</span>
</td>"
2,Quinton de Kock,"<td class=""table-body__cell u-text-right rating"">743</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo SA""></span>
<span class=""table-body__logo-text"">SA</span>
</td>"
3,Imam-ul-Haq,"<td class=""table-body__cell u-text-right rating"">740</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo PAK""></span>
<span class=""table-body__logo-text"">PAK</span>
</td>"
4,Shubman Gill,"<td class=""table-body__cell u-text-right rating"">734</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo IND""></span>
<span class=""table-body__logo-text"">IND</span>
</td>"
5,Virat Kohli,"<td class=""table-body__cell u-text-right rating"">727</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo IND""></span>
<span class=""table-body__logo-text"">IND</span>
</td>"
6,Steve Smith,"<td class=""table-body__cell u-text-right rating"">719</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo AUS""></span>
<span class=""table-body__logo-text"">AUS</span>
</td>"
7,Rohit Sharma,"<td class=""table-body__cell u-text-right rating"">719</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo IND""></span>
<span class=""table-body__logo-text"">IND</span>
</td>"
8,Kane Williamson,"<td class=""table-body__cell u-text-right rating"">700</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo NZ""></span>
<span class=""table-body__logo-text"">NZ</span>
</td>"
9,Josh Hazlewood,"<td class=""table-body__cell u-text-right rating"">727</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo AUS""></span>
<span class=""table-body__logo-text"">AUS</span>
</td>"
10,Trent Boult,"<td class=""table-body__cell u-text-right rating"">708</td>","<td class=""table-body__cell nationality-logo"">
<span class=""flag-15 table-body_logo NZ""></span>
<span class=""table-body__logo-text"">NZ</span>
</td>"
